# ACTS Test Suite Generation: Thu Jul 29 10:54:53 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 13
# Maximum number of values per parameter: 94
# Number of configurations: 94
age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
2,1,1,1,1,1,1,1,1,1,1,1,1
3,2,2,2,2,2,2,2,0,2,2,2,2
4,3,3,3,3,3,3,3,1,3,3,3,3
5,4,4,4,4,4,4,4,1,4,4,4,4
6,5,5,5,5,5,5,0,0,5,6,5,5
7,6,6,6,6,6,0,2,1,6,8,6,6
8,7,7,7,0,7,5,1,0,7,9,7,7
9,100,8,8,6,8,2,2,0,8,10,8,8
1,0,9,9,0,9,4,0,1,9,11,9,9
5,6,10,10,6,10,2,3,0,10,12,10,10
3,5,11,11,2,11,4,3,0,11,13,11,11
1,100,12,12,0,12,5,2,0,13,14,12,12
6,2,13,13,3,13,5,3,1,14,15,13,13
3,7,14,14,3,100,2,3,1,15,16,14,14
2,7,15,15,6,0,0,4,0,18,17,15,15
4,6,16,0,3,11,4,2,0,20,18,16,16
8,7,17,2,6,2,0,2,0,22,19,17,17
1,2,18,5,0,13,5,1,0,25,20,18,18
1,4,19,13,3,2,1,3,1,27,21,19,19
1,7,20,8,0,0,3,1,1,34,22,20,20
4,2,21,1,0,3,3,2,1,41,23,21,21
1,5,22,11,3,11,3,2,0,99,24,22,22
5,4,23,9,4,3,4,1,1,0,25,23,23
4,6,24,14,0,1,2,0,1,11,26,24,24
6,4,25,4,4,4,0,3,1,0,27,25,25
9,5,26,8,1,10,3,2,0,13,28,26,26
8,0,27,12,2,7,5,1,1,15,30,27,27
6,6,28,15,5,2,2,0,0,1,36,28,28
6,2,29,11,2,3,5,0,0,34,37,29,29
9,0,30,1,4,7,1,4,1,5,39,30,30
7,4,31,4,4,2,4,3,1,20,43,31,31
7,4,32,14,5,13,5,3,0,3,0,32,32
5,2,33,8,0,13,2,3,0,8,18,33,33
1,2,34,0,0,7,0,4,0,34,12,34,34
5,5,35,6,1,5,4,2,1,20,9,35,35
6,4,36,14,4,2,3,0,0,1,10,36,36
5,2,37,5,4,0,2,4,1,8,15,37,37
2,3,38,8,1,5,2,4,0,20,20,38,38
1,0,39,0,6,6,3,3,1,14,21,39,39
5,5,40,10,4,9,2,1,0,27,25,40,40
4,0,42,11,0,4,4,0,0,5,3,41,100
7,100,43,1,5,3,0,0,0,13,6,42,0
7,100,44,0,5,10,5,1,1,13,10,43,15
9,6,45,4,3,13,0,4,0,11,2,44,25
5,2,46,13,4,10,3,0,1,11,24,45,12
1,6,47,2,5,5,4,2,0,20,2,46,31
1,3,48,9,1,11,0,3,0,7,1,47,40
5,7,49,0,1,9,1,3,1,10,37,48,22
7,7,51,14,1,0,0,2,0,11,13,49,40
6,100,54,0,4,1,3,1,1,20,22,50,18
2,0,56,9,0,6,0,2,0,10,3,51,39
2,0,58,11,2,5,1,2,0,7,10,52,100
5,4,59,7,4,3,0,1,1,22,10,53,29
1,3,61,2,2,3,5,4,0,5,12,54,15
7,100,63,7,3,7,0,1,1,3,9,55,3
5,7,68,0,1,10,1,4,1,3,13,56,18
5,1,72,13,5,7,2,1,0,11,27,57,22
9,7,74,8,6,100,5,4,1,13,13,58,2
8,6,0,9,4,9,2,1,0,15,0,59,39
5,3,39,13,4,11,2,0,1,8,2,60,30
6,2,33,14,6,4,1,0,0,9,11,61,24
3,6,54,7,5,8,5,0,1,18,19,62,18
2,7,12,12,1,8,3,4,1,13,13,63,16
9,5,35,12,3,12,1,1,0,2,21,64,22
8,0,8,9,2,4,0,0,1,9,22,65,23
5,2,59,7,2,100,0,0,0,10,36,66,1
4,5,74,2,6,0,0,2,1,5,13,67,12
2,100,38,12,6,6,5,1,0,11,26,68,33
9,3,58,12,4,3,2,4,1,99,13,70,26
6,1,0,2,5,10,0,1,1,27,21,72,22
2,3,63,11,5,1,3,0,0,2,6,73,22
9,7,17,12,5,3,4,3,0,20,19,74,25
8,7,29,3,6,13,2,3,1,20,21,75,19
1,6,25,5,3,12,4,0,0,2,20,76,36
5,100,20,14,5,5,5,4,0,99,16,77,22
1,2,19,7,2,6,3,1,0,4,28,78,40
9,4,27,6,5,1,4,0,1,99,43,80,21
1,2,47,10,5,100,5,1,0,18,10,81,7
1,5,18,2,0,6,3,2,1,2,18,82,17
5,5,43,10,2,9,1,3,0,2,10,84,9
3,0,47,9,4,9,0,3,1,99,14,85,6
4,100,3,5,5,13,3,2,1,9,21,86,5
5,3,58,2,4,8,5,1,1,1,6,87,3
1,0,20,12,0,13,1,1,0,20,39,88,34
2,4,51,11,3,2,4,1,1,7,14,89,2
7,2,21,11,1,1,1,2,0,8,24,90,18
7,4,2,4,1,2,1,2,0,27,30,91,37
1,7,61,9,2,12,2,1,0,18,2,92,4
7,6,21,0,1,9,4,1,0,22,23,94,12
8,0,40,5,3,10,2,3,1,3,14,95,7
9,3,2,11,0,1,3,2,1,6,6,96,17
3,6,58,6,3,6,4,3,0,2,27,97,37
3,4,6,10,1,1,1,3,0,8,8,98,23
1,7,49,9,5,1,3,0,0,15,26,99,36
