# ACTS Test Suite Generation: Thu Jul 22 15:09:53 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 16
# Maximum number of values per parameter: 200
# Number of configurations: 200
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
2,1,1,1,1,0,1,1,1,2,1,1,2,1,1,1
3,2,2,2,0,1,0,0,2,3,2,2,3,0,0,2
4,3,0,3,1,2,1,0,0,4,3,3,4,1,1,3
5,4,2,0,0,3,1,1,2,5,4,4,5,0,0,0
6,5,2,1,1,4,0,1,2,6,5,5,6,0,0,2
7,6,2,1,1,5,0,0,2,7,6,6,7,1,0,0
8,7,2,3,1,6,0,0,2,8,7,7,8,0,1,2
9,8,1,3,1,7,1,1,2,9,8,8,9,1,1,3
1,9,1,3,1,8,1,1,0,10,9,9,10,1,0,0
9,10,2,0,1,9,1,1,1,11,10,10,11,0,0,0
9,11,2,1,0,10,1,0,1,12,11,11,12,1,0,1
1,0,1,3,1,11,1,1,0,13,0,12,13,0,0,3
8,7,0,3,1,12,0,1,0,14,9,13,14,1,1,0
1,3,0,3,0,13,1,0,1,15,8,14,15,1,1,1
8,5,0,3,0,14,0,1,1,16,10,15,16,0,1,1
6,1,1,3,0,15,0,1,0,17,10,16,17,0,1,2
6,10,1,3,0,16,1,0,2,18,5,17,18,0,0,2
3,11,2,3,1,17,1,1,2,19,11,18,19,1,0,1
1,3,2,3,0,18,0,0,2,20,11,19,20,1,0,2
1,4,0,0,1,19,0,1,1,21,2,20,21,0,0,2
6,5,2,2,0,20,1,1,1,22,4,21,22,0,0,2
2,2,1,2,0,21,1,1,2,23,8,22,23,0,0,0
8,4,0,2,1,22,0,0,0,24,5,23,24,1,0,3
6,2,2,0,0,23,0,1,0,25,1,24,25,1,0,2
4,10,0,2,0,24,0,1,0,26,0,25,26,0,1,1
4,2,2,2,0,25,1,1,2,27,3,26,27,1,1,0
2,8,0,0,1,26,0,1,0,28,4,27,28,1,1,3
1,0,2,1,0,27,0,0,2,29,6,28,29,1,1,3
1,10,0,1,0,28,1,0,1,30,3,29,30,0,1,2
1,11,0,2,1,29,0,0,1,31,6,30,31,1,0,0
2,5,0,2,0,30,0,0,0,1,11,31,32,0,0,1
4,5,1,2,1,31,1,1,1,14,9,32,33,0,1,0
7,7,0,0,0,32,1,1,0,2,4,33,34,0,1,3
9,7,0,0,1,33,0,0,0,29,8,34,35,1,0,2
8,6,0,2,0,34,0,0,0,26,1,35,36,1,0,3
7,10,0,2,0,35,0,0,1,18,5,36,37,0,0,1
5,3,0,1,1,36,1,1,1,4,0,37,38,0,0,0
7,5,2,2,0,37,0,1,1,21,11,38,39,1,0,2
7,5,1,0,1,38,1,1,1,27,9,39,41,0,0,0
1,5,2,0,0,39,0,0,0,8,3,40,43,0,0,3
8,3,0,2,0,40,1,0,0,21,11,41,44,1,1,3
6,0,2,3,1,41,1,1,0,18,1,42,46,1,1,2
6,10,0,1,1,42,0,1,2,2,5,43,50,0,0,1
6,3,1,2,1,43,1,0,0,11,3,44,51,0,0,0
1,9,0,1,0,44,0,1,0,19,8,45,55,0,0,0
2,4,1,3,1,45,0,0,1,6,11,46,58,1,1,2
3,4,2,3,1,46,0,0,2,25,11,47,63,0,0,1
8,2,1,1,1,47,0,1,0,12,7,48,1,1,1,0
5,11,0,1,1,48,0,1,2,26,3,49,4,1,1,0
5,0,0,0,0,49,1,0,2,11,4,50,10,1,0,1
7,4,2,1,0,50,1,1,0,26,6,51,37,0,1,1
6,9,1,3,0,51,0,0,2,23,4,52,30,0,1,1
7,9,2,3,1,52,1,0,2,12,5,53,51,0,1,0
2,10,1,0,0,53,0,0,2,14,11,54,10,0,1,1
7,9,0,0,1,54,0,1,1,19,7,55,58,1,0,0
3,4,0,1,0,55,0,1,1,2,11,56,29,1,0,0
1,6,2,2,0,56,1,1,0,20,5,57,27,0,1,1
1,10,1,3,0,57,0,1,2,8,5,58,34,0,0,1
1,2,1,0,0,58,0,0,0,12,5,59,43,0,1,1
5,10,2,0,1,59,1,0,2,26,2,60,20,0,1,1
3,8,2,2,1,60,1,0,2,10,6,61,12,0,0,0
2,3,2,2,1,61,1,0,2,16,5,62,6,0,0,2
7,4,2,1,1,62,1,0,0,17,9,63,26,1,0,2
3,5,0,1,0,63,1,1,2,18,7,64,39,1,1,0
3,6,1,2,1,64,1,0,2,21,10,65,55,0,1,0
1,10,1,3,1,65,0,0,1,13,3,66,50,1,1,2
8,10,2,3,1,66,1,1,0,30,9,67,24,1,1,3
7,1,2,0,0,67,1,0,0,4,11,68,51,1,0,2
5,8,0,0,1,68,1,0,0,10,4,69,20,0,1,3
2,6,0,0,0,69,1,1,0,31,9,70,10,0,1,2
5,6,2,2,1,70,1,0,2,1,11,71,14,0,0,3
4,4,2,1,0,71,0,1,0,9,2,72,15,0,0,1
5,3,0,1,0,72,0,1,2,9,3,73,55,0,1,0
9,7,2,0,1,73,1,0,2,21,11,74,26,1,1,3
2,8,1,2,1,74,1,0,2,7,3,75,41,0,1,2
2,6,2,0,1,75,0,0,2,27,10,76,37,1,0,3
9,2,0,3,0,76,0,0,1,26,5,77,4,0,0,2
7,5,2,0,0,77,1,1,0,18,3,78,23,0,1,3
6,11,0,2,1,78,1,1,2,25,9,79,19,0,0,2
6,8,1,1,0,79,1,1,0,4,4,80,30,0,1,0
8,5,2,0,0,80,0,1,1,30,5,81,10,1,1,1
4,9,2,1,1,81,1,1,2,1,10,82,32,1,0,0
6,9,2,0,0,82,1,0,1,10,1,83,16,1,0,3
7,0,1,1,0,83,0,1,2,15,7,84,7,0,1,2
2,11,0,0,0,84,0,1,0,31,10,85,50,0,1,3
3,0,1,2,0,85,1,1,2,20,6,86,3,1,1,2
9,10,2,1,1,86,0,1,0,5,10,87,33,0,0,2
8,6,1,1,1,87,1,1,1,4,9,88,1,0,1,1
2,11,1,3,1,88,1,0,0,11,6,89,34,1,0,3
4,10,0,1,1,89,0,0,2,7,10,90,34,1,1,0
7,0,0,2,1,90,0,0,1,15,1,91,25,0,0,3
2,11,2,3,1,91,1,0,1,12,8,92,15,1,1,3
2,10,0,3,1,92,0,0,1,24,8,93,27,0,0,3
7,0,0,0,1,93,1,0,2,2,10,94,63,1,0,0
2,4,2,0,1,94,1,1,0,7,3,95,58,1,1,0
7,9,2,3,1,95,1,0,0,20,8,96,36,0,1,0
1,2,0,1,0,96,1,0,2,12,3,97,36,0,1,1
5,3,0,3,0,97,0,1,0,18,5,98,3,0,0,1
4,5,0,3,1,98,1,0,0,17,3,99,10,0,1,0
9,11,2,1,1,99,1,0,1,31,0,0,7,0,0,2
1,2,0,2,0,100,1,1,0,12,7,63,18,0,0,3
2,2,2,0,0,101,1,0,0,23,5,51,31,1,1,2
8,11,0,2,0,102,1,1,0,14,9,87,35,1,0,2
4,1,2,2,0,103,0,1,0,6,0,8,50,0,0,1
7,8,1,2,1,104,0,0,0,23,6,78,37,1,0,2
5,9,1,3,0,105,0,0,2,11,4,23,17,1,0,3
9,3,0,0,1,106,0,1,1,23,5,6,33,0,0,1
1,6,2,2,0,107,0,1,2,1,7,43,41,0,0,3
8,2,0,2,0,108,0,1,0,27,6,78,11,1,0,3
8,1,1,3,0,109,0,1,2,5,6,79,25,1,1,0
9,6,0,1,0,110,1,0,1,10,0,88,63,0,1,0
8,4,1,2,1,111,0,1,2,22,0,80,36,0,1,1
9,2,1,0,1,112,1,1,2,6,6,51,15,1,1,3
9,2,2,1,1,113,1,1,0,9,9,42,18,1,1,1
9,9,2,1,0,114,1,0,1,4,7,69,19,1,1,0
4,11,0,1,1,115,1,0,2,20,8,15,35,0,1,0
1,10,2,3,0,116,1,1,0,20,9,27,46,1,1,0
8,4,1,1,0,117,0,1,1,8,3,38,1,1,1,3
1,6,1,1,1,118,0,1,0,11,11,81,41,1,0,1
5,10,1,2,1,119,1,1,0,10,8,1,30,0,0,2
4,5,2,3,1,120,0,1,2,7,0,99,20,0,1,0
2,5,0,3,0,121,1,1,1,8,11,1,22,0,0,0
4,4,2,3,0,122,0,0,1,2,2,85,7,1,0,2
2,6,1,3,1,123,1,1,0,24,7,13,3,1,0,0
3,3,2,2,1,124,0,1,1,17,6,39,10,1,1,1
8,9,0,0,0,125,1,0,1,18,11,94,10,1,1,3
2,10,0,3,0,126,1,1,2,27,7,77,5,0,1,2
5,0,2,0,0,127,0,0,2,10,0,31,21,1,0,3
1,9,0,3,1,128,1,1,1,8,9,42,33,1,1,3
4,1,1,1,0,129,0,0,2,28,10,10,28,0,1,3
1,0,1,0,0,130,0,0,0,13,9,54,23,0,1,3
6,5,0,1,0,131,0,0,0,13,10,98,37,1,1,1
8,10,2,3,1,132,0,1,0,24,7,44,24,1,1,0
9,7,1,0,1,133,0,1,0,6,0,3,50,0,0,3
3,7,0,2,0,134,1,0,2,25,5,53,30,0,0,3
8,1,2,3,0,135,1,0,0,30,2,45,21,0,0,1
5,9,2,1,0,136,1,0,1,5,4,1,13,0,1,3
8,3,2,1,1,137,1,0,2,8,0,45,33,1,1,1
9,7,1,2,0,138,0,1,2,3,11,14,6,0,0,3
1,9,0,0,0,139,0,1,2,22,8,71,5,1,0,0
9,1,0,2,1,140,0,1,0,2,0,62,19,0,0,0
8,4,2,0,0,141,0,0,0,25,1,1,31,1,1,1
6,4,0,3,1,142,0,1,2,7,6,19,3,0,0,0
4,5,0,3,0,143,0,0,0,16,1,35,15,0,1,1
7,4,0,2,0,144,1,1,2,14,6,84,24,0,1,0
6,2,0,1,1,145,0,1,0,28,1,34,8,0,0,3
6,4,2,1,1,146,0,0,2,25,1,0,17,0,0,2
2,6,0,1,1,147,1,0,1,3,1,80,5,1,1,1
2,6,2,2,1,148,1,1,1,7,6,73,30,0,1,3
3,0,0,0,1,149,0,0,0,5,2,33,13,0,0,1
