# ACTS Test Suite Generation: Thu Jul 22 15:11:19 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 20
# Maximum number of values per parameter: 128
# Number of configurations: 4227
checking_status,duration,credit_history,purpose,credit_amount,saving_status,emplyoment,installment_commintment,sex,other_parties,residence,property_magnitude,age,other_emplyoment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
2,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
3,5,2,2,2,3,3,3,0,3,3,3,3,3,3,3,3,1,1,1
4,6,3,3,2,4,4,4,1,1,4,4,4,1,1,4,4,1,2,1
1,7,4,4,2,5,5,1,0,2,1,1,5,3,1,1,1,2,1,2
2,8,0,5,2,1,1,3,0,1,4,1,6,1,2,2,3,2,1,1
1,9,1,6,2,3,4,4,1,3,1,2,7,2,3,3,4,2,1,2
2,10,2,8,2,4,5,1,1,3,2,3,1,1,2,4,1,1,2,2
3,11,3,9,2,5,1,2,0,3,3,4,2,2,3,1,2,1,2,1
4,12,4,10,2,1,2,4,1,1,2,1,3,3,3,3,2,1,2,2
1,13,0,0,2,2,3,1,0,2,3,2,4,1,3,4,3,1,2,1
3,14,2,1,2,1,4,2,1,1,4,3,5,2,1,1,4,2,1,2
4,15,3,2,2,2,5,3,1,2,1,4,6,2,2,2,1,2,1,2
3,16,4,3,2,2,1,1,0,2,2,3,7,3,2,2,4,1,1,1
4,18,0,4,2,3,2,2,0,1,3,4,1,1,1,3,1,2,2,1
1,20,2,5,2,4,3,4,1,2,1,3,2,3,1,2,2,1,1,2
2,21,3,6,2,5,2,1,1,1,4,2,3,3,1,1,3,2,2,1
3,22,1,8,2,1,3,3,0,1,1,1,4,2,1,4,1,2,1,1
3,24,0,9,2,4,2,4,0,3,2,2,5,1,2,1,3,2,1,2
4,26,1,10,2,5,4,1,0,3,3,3,6,3,2,2,4,1,2,1
4,27,2,0,2,5,2,3,1,1,2,4,7,1,1,1,2,2,2,2
1,28,4,1,2,3,1,3,0,2,4,2,1,3,3,4,1,1,1,1
1,30,0,2,2,1,5,2,1,1,4,1,2,1,2,3,4,1,2,1
1,33,1,3,2,4,1,2,1,2,1,4,3,2,3,3,3,2,2,2
2,36,2,4,2,2,1,4,1,3,3,1,4,2,1,3,2,1,1,2
2,39,3,5,2,3,3,1,0,3,2,4,5,2,3,3,4,1,2,1
3,40,4,6,2,4,3,2,0,2,3,1,6,1,2,4,2,1,1,2
2,42,0,8,2,5,4,4,1,2,4,1,7,3,3,4,2,2,2,1
3,45,1,9,2,1,5,1,1,2,1,2,1,1,1,1,2,2,1,2
1,47,3,10,2,3,5,3,0,2,2,1,2,2,2,4,3,2,1,1
2,48,4,0,2,2,4,4,0,3,4,3,3,2,2,2,1,1,1,2
4,54,0,1,2,5,5,4,1,3,1,3,4,3,3,3,3,2,2,1
4,60,1,2,2,2,1,3,0,1,3,2,5,1,1,1,2,1,2,2
1,72,2,3,2,3,2,3,1,3,1,2,6,3,3,1,4,2,1,1
3,4,3,4,3,1,3,3,0,3,3,3,7,1,3,4,3,1,1,1
4,5,4,5,3,2,4,2,1,1,2,4,1,2,1,2,1,2,2,2
2,6,0,6,3,3,5,1,0,2,1,1,2,3,2,2,1,2,1,2
4,7,1,8,3,4,1,2,1,1,4,2,3,1,3,3,4,1,2,1
1,8,2,9,3,3,2,4,1,3,2,3,4,3,1,4,2,1,2,2
2,9,0,10,3,4,3,2,0,1,4,4,5,3,1,1,1,1,2,1
3,10,3,0,3,5,1,4,0,2,1,1,6,3,1,3,4,2,1,1
4,11,4,1,3,4,3,1,1,1,3,1,7,1,2,2,3,2,1,2
2,12,3,2,3,5,3,1,0,3,4,4,1,2,2,4,4,2,1,1
4,13,4,3,3,1,4,3,1,1,2,4,2,2,2,1,1,2,1,2
1,14,1,4,3,4,5,3,0,2,3,2,3,1,3,2,3,1,2,1
3,15,4,5,3,5,2,2,0,3,3,2,4,3,3,1,4,1,2,1
4,16,2,6,3,1,4,3,1,1,4,4,5,2,1,4,3,2,2,2
1,18,3,8,3,2,5,4,1,2,2,3,6,2,2,2,3,1,1,2
2,20,4,9,3,2,4,2,0,1,4,1,7,1,3,3,1,2,2,1
3,21,2,10,3,2,1,4,0,3,1,1,1,1,2,4,2,1,1,2
1,22,0,0,3,3,5,2,1,2,2,3,2,2,3,1,4,1,2,2
2,24,3,1,3,1,1,1,1,1,3,4,3,3,1,4,1,1,2,1
3,26,4,2,3,4,2,4,1,2,2,2,4,1,2,2,2,2,1,2
2,27,0,3,3,5,3,1,0,3,3,1,5,2,3,2,3,1,1,1
3,28,1,4,3,1,4,2,1,3,2,3,6,1,2,3,4,2,2,2
4,30,1,5,3,3,5,3,0,2,1,4,7,3,1,4,1,2,1,2
2,33,2,6,3,2,2,1,0,3,2,3,1,3,1,1,2,1,1,1
1,36,4,8,3,3,2,2,0,1,4,4,2,1,3,1,3,2,2,1
4,39,0,9,3,4,3,3,1,2,1,2,3,3,1,2,4,2,1,2
1,40,1,10,3,5,4,4,1,3,4,2,4,2,3,3,1,2,2,1
3,42,1,0,3,1,1,1,0,1,1,3,5,2,2,3,3,1,1,2
4,45,2,1,3,2,2,2,0,3,3,4,6,3,3,4,4,1,2,1
2,47,0,2,3,4,4,4,1,1,4,2,7,1,1,1,2,1,2,2
3,48,3,3,3,5,5,1,1,2,1,1,1,3,3,3,2,2,2,1
1,54,2,4,3,1,1,3,0,1,4,2,2,2,2,2,1,1,1,2
2,60,3,5,3,3,3,4,1,2,1,3,3,2,2,3,3,2,1,1
3,72,4,6,3,4,1,1,0,1,3,4,4,1,1,4,1,1,2,2
4,4,0,8,4,5,4,4,1,1,3,1,5,3,1,1,4,2,1,1
1,5,1,9,4,1,5,1,0,2,4,2,6,1,2,4,2,1,2,2
3,6,2,10,4,2,2,2,1,3,2,3,7,2,3,3,3,2,1,2
2,7,3,0,4,3,3,3,1,3,3,4,1,2,2,2,3,1,2,1
4,8,4,1,4,4,4,2,1,2,1,2,2,2,3,1,1,2,1,1
3,9,2,2,4,5,1,3,0,2,2,3,3,1,2,2,2,2,2,2
1,10,0,3,4,1,2,2,1,1,3,4,4,2,3,1,2,1,2,1
2,11,1,4,4,2,5,3,0,2,4,3,5,3,1,3,4,1,1,1
1,12,2,5,4,3,1,2,0,2,1,2,6,1,1,2,1,2,1,1
2,13,3,6,4,4,2,4,1,3,4,1,7,3,1,3,4,1,2,2
4,14,4,8,4,5,3,1,0,3,2,1,1,3,2,4,1,1,2,1
1,15,0,9,4,1,4,4,0,1,2,3,2,1,1,4,2,1,2,2
2,16,1,10,4,3,5,2,1,3,3,1,3,1,3,1,1,2,1,2
3,18,2,0,4,4,3,3,1,3,1,2,4,3,3,4,4,2,2,2
4,20,3,1,4,5,5,1,1,3,2,4,5,2,2,1,3,1,2,1
1,21,4,2,4,1,3,3,1,2,3,3,6,2,3,2,4,2,2,2
4,22,3,3,4,2,4,4,0,3,4,4,7,3,2,3,2,2,1,1
1,24,1,4,4,3,5,2,1,2,1,1,1,2,3,2,4,1,2,2
2,26,0,5,4,2,1,3,1,1,4,4,2,2,1,3,3,1,1,1
3,27,1,6,4,3,4,4,0,2,1,2,3,3,2,4,1,1,1,2
4,28,2,8,4,4,2,1,0,1,3,1,4,2,1,1,2,2,1,2
3,30,3,9,4,5,3,1,0,3,2,3,5,2,3,2,3,2,2,2
4,33,4,10,4,1,4,3,1,1,3,1,6,1,2,4,4,2,2,2
3,36,0,0,4,4,5,1,1,2,1,2,7,3,2,2,1,1,1,1
1,39,1,1,4,2,1,2,0,1,4,3,1,1,2,1,2,1,2,1
2,40,2,2,4,3,2,3,0,1,2,4,2,3,1,2,3,1,2,1
4,42,3,3,4,2,3,2,1,3,3,2,3,1,1,1,4,2,2,2
1,45,4,4,4,5,1,4,0,1,4,3,4,2,2,3,1,1,2,1
3,47,1,5,4,1,2,1,1,3,1,4,5,3,3,3,4,2,1,2
4,48,0,6,4,3,3,2,0,1,2,2,6,1,1,4,3,2,2,1
2,54,3,8,4,4,4,1,1,2,3,1,7,1,1,1,2,2,2,1
3,60,4,9,4,5,5,2,1,3,4,4,1,3,3,2,1,1,1,1
2,72,0,10,4,1,3,4,1,2,2,1,2,2,2,3,2,1,2,2
1,4,2,0,5,3,1,1,1,3,1,4,3,1,3,3,1,2,1,1
2,5,3,1,5,4,2,4,0,1,2,1,4,3,1,1,4,1,2,2
3,6,4,2,5,5,3,3,1,2,3,2,5,2,2,4,2,1,2,2
4,7,0,3,5,2,4,4,0,2,4,3,6,1,1,2,3,2,1,2
3,8,1,4,5,1,5,1,1,2,3,4,7,3,3,3,4,2,1,1
4,9,3,5,5,2,2,2,0,3,3,1,1,3,2,4,3,1,1,1
4,10,4,6,5,3,4,3,1,3,4,2,2,2,2,2,3,1,2,2
1,11,2,8,5,1,2,4,0,2,1,2,3,3,3,4,1,1,2,2
3,12,0,9,5,2,5,3,0,3,3,3,4,3,3,1,3,1,1,2
3,13,1,10,5,5,1,2,1,1,1,3,5,2,3,2,2,1,2,1
2,14,3,0,5,2,1,4,1,2,1,4,6,1,2,3,2,1,1,2
2,15,2,1,5,4,3,1,1,2,4,1,7,3,2,3,3,2,1,1
1,16,0,2,5,5,2,4,0,2,1,2,1,2,3,3,2,1,2,1
2,18,1,3,5,1,4,1,0,1,4,1,2,2,2,1,2,1,2,2
3,20,0,4,5,3,1,3,0,1,3,2,3,3,2,4,4,2,2,2
4,21,1,5,5,4,5,2,0,1,2,4,4,1,1,3,1,1,2,1
2,22,2,6,5,5,1,1,0,3,3,2,5,1,2,2,3,1,2,1
4,24,4,8,5,2,3,3,1,1,4,3,6,2,1,3,2,2,1,1
1,26,2,9,5,3,5,2,1,1,1,1,7,1,3,4,1,1,1,2
1,27,3,10,5,4,1,2,0,3,4,3,1,1,2,3,4,2,2,2
2,28,0,0,5,5,3,4,1,1,1,4,2,2,3,2,3,1,1,2
2,30,4,1,5,2,4,4,0,3,3,2,3,3,3,1,2,2,1,1
3,33,3,2,5,3,5,4,1,1,4,2,4,1,1,2,1,1,2,2
4,36,1,3,5,1,4,3,0,2,2,3,5,1,1,4,4,1,2,2
3,39,2,4,5,1,2,4,0,3,3,1,6,2,3,4,1,2,2,1
4,40,3,5,5,2,5,1,1,1,1,3,7,1,2,1,4,2,1,1
1,42,4,6,5,4,2,3,1,2,2,4,1,3,1,2,1,2,1,2
2,45,0,8,5,3,3,3,0,2,2,1,2,3,1,2,3,2,1,1
4,47,2,9,5,5,1,2,0,1,3,3,3,3,3,2,1,1,2,1
1,48,1,10,5,1,2,3,0,1,3,4,4,1,1,1,4,1,1,1
3,54,4,0,5,2,3,2,0,1,2,4,5,3,1,4,4,2,1,2
1,60,0,1,5,4,4,1,1,2,2,1,6,2,3,4,4,1,2,2
4,72,1,2,5,5,5,2,0,2,4,3,7,2,1,2,3,2,2,2
1,4,4,3,6,4,5,1,1,3,4,4,1,3,1,1,2,2,1,1
2,5,0,4,6,5,1,3,0,1,1,1,2,1,3,3,3,1,2,2
3,6,1,5,6,1,2,4,0,2,2,2,3,2,2,1,1,2,2,1
4,7,2,6,6,3,4,2,1,2,2,3,4,2,2,4,2,1,1,2
2,8,3,8,6,2,3,4,0,3,3,3,5,2,1,2,4,1,2,1
3,9,4,9,6,1,5,1,1,2,3,4,6,1,2,2,4,1,2,2
3,10,1,10,6,2,3,3,0,1,3,2,7,3,2,2,3,1,1,1
3,11,0,0,6,3,4,4,1,2,2,2,1,1,2,1,4,1,1,1
2,12,1,1,6,4,4,3,1,2,2,3,2,1,2,3,4,2,1,2
2,13,2,2,6,3,5,4,1,2,2,1,3,1,1,1,1,1,1,2
1,14,0,3,6,3,2,2,0,1,1,1,4,3,1,4,3,1,1,2
1,15,1,4,6,3,1,3,0,1,3,3,5,2,3,4,3,2,2,2
3,16,3,5,6,4,3,1,1,1,1,4,6,2,2,3,4,2,2,1
3,18,4,6,6,5,1,1,1,3,4,2,7,3,2,2,3,1,1,2
3,20,1,8,6,1,2,1,0,1,4,3,1,1,3,1,1,1,1,1
1,21,0,9,6,3,4,2,1,1,4,2,2,3,1,1,1,1,1,1
2,22,4,10,6,4,2,4,0,2,1,4,3,2,2,3,3,2,2,2
2,24,2,0,6,5,4,1,0,3,1,4,4,3,2,2,4,1,1,2
3,26,3,1,6,1,3,3,0,2,1,2,5,1,2,1,1,2,2,2
2,27,4,2,6,2,5,1,1,2,2,1,6,1,3,1,2,1,2,2
3,28,3,3,6,2,5,4,0,1,4,2,7,2,1,3,3,1,2,1
4,30,2,4,6,4,1,2,0,1,1,4,1,1,1,2,3,2,1,2
3,33,0,5,6,5,3,2,0,2,3,4,2,3,3,1,4,2,1,1
2,36,3,6,6,5,3,1,1,1,2,4,3,3,1,1,2,1,2,2
3,39,4,8,6,5,4,4,1,1,1,1,4,3,2,3,3,2,1,1
3,40,0,9,6,1,1,3,0,3,2,1,5,2,2,1,1,1,1,1
1,42,2,10,6,3,5,3,1,1,4,3,6,3,2,2,4,2,1,1
2,45,3,0,6,4,4,1,1,2,3,1,7,2,3,1,2,2,2,1
3,47,4,1,6,2,3,3,1,1,2,2,1,2,2,2,2,1,2,2
2,48,2,2,6,4,1,4,0,2,4,2,2,3,2,3,2,1,2,2
4,54,1,3,6,3,2,2,0,1,1,1,3,2,2,2,4,1,2,2
2,60,2,4,6,1,2,1,1,3,4,3,4,3,1,1,2,1,1,2
2,72,3,5,6,2,4,2,1,3,4,2,5,3,3,2,3,2,1,1
1,4,4,6,7,1,1,3,1,3,1,4,6,3,3,3,1,2,1,1
2,5,0,8,7,2,2,4,0,1,4,1,7,1,1,4,2,1,2,2
3,6,1,9,7,4,5,1,0,2,2,2,1,2,2,1,3,2,1,1
4,7,2,10,7,5,2,2,1,3,3,3,2,2,2,2,4,1,2,2
4,8,3,0,7,3,3,1,0,2,2,1,3,1,1,1,1,2,2,2
1,9,2,1,7,2,4,4,0,2,1,3,4,3,3,1,3,1,1,1
3,10,0,2,7,3,2,1,1,2,1,4,5,1,2,1,1,2,2,1
4,11,0,3,7,2,4,3,0,2,4,4,6,2,1,4,3,1,2,2
1,12,2,4,7,4,5,2,1,3,4,4,7,3,3,4,1,2,2,1
1,13,1,5,7,3,4,3,0,1,4,1,1,2,3,2,4,1,1,2
3,14,1,6,7,2,2,2,0,2,4,3,2,1,1,1,2,2,2,1
2,15,4,8,7,4,5,4,0,2,4,2,3,1,3,4,4,2,2,1
2,16,2,9,7,4,1,1,0,3,1,3,4,1,3,3,4,1,2,1
2,18,2,10,7,1,1,4,0,1,2,2,5,3,1,1,1,1,1,2
2,20,1,0,7,1,5,3,1,3,1,1,6,3,3,1,4,1,2,2
4,21,2,1,7,1,3,1,0,1,3,3,7,3,2,4,1,2,1,1
1,22,2,2,7,4,4,4,0,3,1,2,1,1,1,4,2,2,1,1
2,24,3,3,7,1,5,3,1,1,2,1,2,2,1,1,1,1,1,1
1,26,1,4,7,1,1,3,0,3,4,1,3,3,1,4,3,2,2,2
4,27,4,5,7,1,3,3,0,3,1,2,4,2,3,4,2,1,1,1
2,28,0,6,7,2,5,3,0,2,3,1,5,2,3,2,4,1,1,1
3,30,3,8,7,3,2,1,1,3,1,1,6,2,3,2,4,2,2,2
4,33,0,9,7,4,2,4,1,3,1,3,7,2,3,1,4,1,2,1
1,36,4,10,7,1,5,2,0,2,2,3,1,2,1,4,1,2,1,1
1,39,2,0,7,3,5,1,1,1,4,3,2,1,3,4,1,1,1,1
3,40,4,1,7,2,2,3,1,1,3,1,3,2,3,4,4,2,1,1
2,42,3,2,7,2,3,4,1,1,2,4,4,1,1,2,2,1,1,1
4,45,1,3,7,1,1,3,1,3,1,3,5,1,2,1,3,2,1,1
4,47,1,4,7,4,3,2,0,1,1,2,6,2,2,1,3,1,2,1
2,48,3,5,7,5,5,2,1,2,3,2,7,1,2,3,3,1,1,1
4,54,3,6,7,2,5,1,0,2,3,4,1,3,1,4,2,2,2,1
4,60,1,8,7,5,5,4,0,1,4,3,2,3,3,1,4,2,2,1
1,72,2,9,7,2,2,3,1,2,1,4,3,2,2,4,2,1,2,1
1,4,4,10,8,2,1,3,1,3,1,4,4,3,3,3,1,2,1,1
2,5,0,0,8,4,2,4,0,1,4,1,5,1,1,4,2,1,2,2
3,6,1,1,8,5,1,1,0,2,2,2,6,2,2,1,3,1,1,1
4,7,2,2,8,1,3,2,1,2,3,3,7,2,1,2,4,2,2,1
1,8,3,3,8,3,4,4,0,1,1,4,1,1,1,1,2,1,2,2
3,9,3,4,8,2,5,1,0,2,2,2,2,1,3,3,1,2,1,1
4,10,1,5,8,3,4,2,1,2,1,3,3,2,3,2,2,1,1,2
2,11,3,6,8,1,3,2,0,2,4,3,4,1,2,2,2,2,2,1
4,12,4,8,8,3,1,3,0,3,2,1,5,3,3,1,3,2,2,2
3,13,4,9,8,4,2,4,0,3,2,1,6,3,3,4,4,1,2,1
1,14,3,10,8,3,2,4,1,3,4,2,7,1,2,2,2,2,1,2
4,15,2,0,8,2,2,2,0,1,2,1,1,1,2,2,4,1,1,1
1,16,4,1,8,3,5,2,1,1,2,1,2,3,2,4,2,2,2,1
1,18,1,2,8,2,3,2,0,1,1,1,3,2,2,3,3,1,1,1
1,20,0,3,8,5,2,3,1,1,3,4,4,1,2,2,1,1,2,1
4,21,1,4,8,4,5,1,0,3,3,1,5,3,3,3,4,2,1,1
4,22,3,5,8,3,2,1,1,1,3,3,6,2,2,4,4,2,1,2
3,24,4,6,8,4,3,4,1,2,4,1,7,2,1,2,1,2,2,2
1,26,1,8,8,1,4,2,1,1,1,1,1,3,3,3,1,2,2,1
3,27,0,9,8,2,5,2,1,3,3,3,2,2,1,4,1,2,2,1
4,28,3,10,8,5,3,2,0,2,2,3,3,1,1,3,3,1,2,2
1,30,0,0,8,4,1,1,1,3,4,3,4,2,1,4,3,2,2,2
4,33,4,1,8,4,2,1,1,2,4,1,5,2,3,3,3,2,1,1
3,36,2,2,8,2,4,4,0,1,1,1,6,1,2,3,4,2,2,1
4,39,3,3,8,4,5,4,1,3,3,3,7,2,1,4,2,1,2,2
4,40,4,4,8,5,4,3,0,1,3,2,1,3,1,4,1,1,2,2
3,42,2,5,8,1,2,1,1,3,4,2,2,2,1,4,4,1,1,2
1,45,3,6,8,2,1,1,1,1,2,3,3,1,2,2,4,2,2,1
3,47,0,8,8,1,2,3,0,1,2,1,4,2,1,2,2,1,2,2
2,48,2,9,8,1,1,3,0,3,4,2,5,3,2,2,4,1,1,2
3,54,4,10,8,4,5,2,1,2,4,4,6,1,1,4,1,2,2,1
3,60,4,0,8,1,4,3,1,2,3,3,7,2,1,2,4,2,2,2
1,72,3,1,8,3,1,2,1,1,1,4,1,2,2,1,4,2,2,2
1,4,4,2,9,4,1,3,1,3,1,4,2,3,3,3,1,2,1,1
2,5,0,3,9,5,2,4,0,1,4,1,3,1,1,4,2,1,2,2
3,6,1,4,9,1,3,1,0,2,2,2,4,2,2,1,3,2,1,1
4,7,2,5,9,2,4,2,0,2,3,3,5,1,1,2,4,1,2,2
1,8,3,6,9,3,5,4,1,1,1,2,6,2,2,4,1,1,1,1
2,9,0,8,9,1,1,1,0,1,2,3,7,2,1,1,1,2,2,2
1,10,2,9,9,4,3,2,1,1,4,3,1,3,2,1,3,1,1,1
3,11,0,10,9,5,3,4,0,2,3,4,7,1,1,1,4,1,1,2
2,12,4,0,9,3,1,1,1,2,2,2,5,2,1,1,4,2,1,1
4,13,2,1,9,3,5,1,1,2,1,2,3,3,1,4,2,2,2,2
2,14,0,2,9,5,2,4,1,1,4,1,5,2,3,4,2,2,1,1
2,15,4,3,9,3,2,3,1,3,2,1,6,3,2,1,4,1,2,1
1,16,0,4,9,1,5,1,0,1,2,2,2,2,2,1,4,2,1,1
