# ACTS Test Suite Generation: Thu Jul 22 15:11:26 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 20
# Maximum number of values per parameter: 128
# Number of configurations: 42447
checking_status,duration,credit_history,purpose,credit_amount,saving_status,emplyoment,installment_commintment,sex,other_parties,residence,property_magnitude,age,other_emplyoment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,4,0,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
3,4,2,2,2,3,3,3,0,3,3,3,3,3,3,3,3,2,1,2
4,4,3,3,2,4,4,4,1,1,4,4,4,2,3,4,4,1,2,1
1,4,4,4,2,5,5,2,1,3,3,4,5,1,2,1,2,1,1,2
4,4,0,5,2,2,3,1,1,2,2,3,6,3,1,4,1,2,2,1
3,4,1,6,2,1,4,3,0,2,1,2,7,1,2,4,3,1,2,1
2,4,2,8,2,4,2,4,0,3,1,3,1,1,1,2,4,2,1,2
1,4,3,9,2,3,1,3,0,2,4,2,2,2,1,3,1,2,1,2
4,4,4,10,2,1,2,1,1,3,4,1,3,2,3,2,3,1,2,2
2,5,1,0,2,5,3,4,0,2,3,1,4,3,2,3,4,1,2,1
3,5,0,1,2,3,4,1,0,1,4,4,5,3,1,2,2,2,1,1
2,5,3,2,2,1,5,2,1,1,1,3,6,2,3,1,3,2,2,1
1,5,2,3,2,2,1,2,0,3,2,1,7,3,3,4,4,2,1,2
3,5,4,4,2,4,3,3,1,1,2,2,1,2,2,1,4,2,1,1
4,5,2,5,2,5,4,3,1,1,1,4,2,1,3,3,2,1,1,2
1,5,0,6,2,4,5,4,1,3,2,2,3,1,1,3,3,1,2,2
3,5,4,8,2,2,5,1,0,2,1,1,4,2,3,3,1,1,1,2
4,5,1,9,2,4,1,2,0,1,3,3,5,1,2,2,1,1,2,1
1,5,1,10,2,3,2,3,1,3,3,4,6,2,1,4,1,1,1,1
3,6,3,0,2,5,2,1,1,3,2,3,7,1,3,2,2,2,2,1
4,6,2,1,2,1,5,4,0,2,3,2,1,3,3,4,2,2,2,2
2,6,0,2,2,4,1,1,0,2,3,4,2,2,2,4,3,1,1,2
2,6,1,3,2,2,4,3,1,1,4,3,3,3,2,1,1,1,1,2
4,6,0,4,2,3,2,2,1,1,1,1,4,3,1,3,4,2,2,2
1,6,3,5,2,1,3,4,1,2,4,1,5,1,2,2,3,2,1,1
2,6,4,6,2,5,1,4,0,3,4,2,6,3,1,1,2,1,2,1
2,6,0,8,2,3,3,3,0,2,2,4,7,1,3,1,2,1,2,2
3,6,3,9,2,2,4,2,1,3,3,4,1,2,1,3,3,1,2,1
3,6,2,10,2,2,3,4,1,3,1,2,2,1,2,1,1,2,2,1
4,7,4,0,2,3,5,3,0,2,1,3,3,1,2,4,4,2,1,1
1,7,2,1,2,5,1,1,1,2,4,3,4,2,1,1,3,1,2,2
3,7,1,2,2,2,2,4,0,1,2,1,5,2,1,4,2,1,1,2
1,7,0,3,2,1,4,2,1,2,3,2,6,3,3,2,4,1,1,2
2,7,3,4,2,4,5,1,0,3,4,1,7,3,2,3,1,2,2,1
2,7,1,5,2,3,1,2,1,3,4,4,1,1,3,4,4,2,2,1
4,7,4,6,2,1,3,2,0,1,2,4,2,3,3,3,1,2,1,1
1,7,3,8,2,5,4,4,0,1,1,4,3,3,2,2,1,2,2,2
2,7,4,9,2,1,2,3,1,1,3,2,4,1,1,1,2,2,1,1
2,7,2,10,2,4,4,2,0,2,2,1,5,3,1,1,3,2,1,1
3,8,2,0,2,4,5,2,1,2,4,4,6,2,1,2,1,1,1,2
4,8,4,1,2,5,3,4,0,1,1,1,7,2,1,4,3,2,1,1
2,8,0,2,2,5,4,3,1,3,2,1,1,1,2,2,1,2,2,2
3,8,1,3,2,3,5,1,0,1,3,2,2,1,3,1,4,1,2,2
4,8,3,4,2,2,1,4,0,2,3,3,3,2,3,1,2,1,1,1
1,8,4,5,2,4,2,1,0,2,2,4,4,3,2,3,4,1,1,1
1,8,2,6,2,1,2,3,1,3,1,3,5,2,2,3,2,2,2,1
4,8,1,8,2,1,1,3,1,3,2,1,6,3,2,3,3,2,1,2
1,8,0,9,2,2,5,4,1,1,4,3,7,2,3,2,4,1,2,1
4,8,3,10,2,3,3,1,1,3,1,2,1,3,1,2,2,1,1,2
4,9,0,0,2,2,4,4,0,3,3,1,2,3,1,2,3,2,1,2
3,9,3,1,2,4,2,3,1,2,1,1,3,3,3,1,4,1,2,1
3,9,4,2,2,5,4,2,0,1,4,2,4,1,1,4,1,1,2,2
1,9,1,3,2,5,3,1,1,1,2,2,5,2,3,3,3,2,2,1
3,9,2,4,2,1,1,1,0,1,3,4,6,1,2,2,2,2,2,2
3,9,0,5,2,3,5,4,1,2,3,3,7,2,2,3,1,1,1,2
2,9,3,6,2,2,5,3,0,1,2,4,1,3,2,4,2,1,1,2
1,9,1,8,2,4,3,2,1,3,4,3,2,3,3,4,2,1,1,1
2,9,2,9,2,5,5,1,0,3,1,2,3,2,1,4,4,2,1,1
1,9,0,10,2,1,3,3,0,3,1,4,4,2,3,2,4,2,2,2
2,10,4,0,2,2,1,1,1,1,4,2,5,1,3,3,4,2,2,2
4,10,1,1,2,4,4,1,0,3,1,3,6,1,1,3,2,1,1,2
4,10,2,2,2,5,2,2,1,2,3,2,7,3,2,1,1,1,1,1
3,10,3,3,2,1,2,4,0,2,2,4,1,1,1,1,3,2,1,2
1,10,0,4,2,3,3,4,0,1,4,1,2,1,2,4,2,1,2,1
3,10,4,5,2,5,3,2,0,2,1,3,3,2,1,2,4,1,2,2
2,10,1,6,2,3,5,2,1,3,2,3,4,3,3,2,3,2,1,1
4,10,2,8,2,3,1,4,1,2,1,4,5,2,3,4,3,1,2,1
2,10,3,9,2,5,3,3,0,1,3,1,6,2,3,4,1,2,2,2
1,10,4,10,2,4,1,3,1,1,3,3,7,3,1,2,3,2,2,2
4,11,1,0,2,2,2,3,0,2,4,2,1,3,3,3,3,1,1,1
3,11,0,1,2,1,5,3,1,3,2,3,2,2,1,4,1,1,2,1
1,11,3,2,2,3,4,1,0,3,2,1,3,2,2,1,4,2,1,1
3,11,4,3,2,3,1,4,1,3,1,2,4,1,2,2,2,2,2,2
2,11,2,4,2,2,4,4,1,1,3,2,5,2,1,4,1,1,1,2
1,11,1,5,2,5,5,4,0,2,1,1,6,3,3,1,2,2,2,2
4,11,0,6,2,4,2,2,1,1,4,4,7,1,2,1,4,2,1,2
2,11,3,8,2,1,3,1,1,2,3,3,1,1,2,3,4,1,2,1
3,11,2,9,2,4,2,1,1,1,2,1,2,3,3,3,2,1,2,2
4,11,0,10,2,5,1,2,0,1,2,2,3,2,3,4,2,1,1,1
1,12,4,0,2,1,4,4,0,2,2,3,4,2,3,4,2,2,1,2
2,12,1,1,2,3,5,3,1,1,1,1,5,1,3,2,1,1,1,2
1,12,2,2,2,2,1,3,1,2,4,4,6,1,1,3,4,2,2,1
4,12,3,3,2,3,2,2,0,3,3,3,7,1,2,4,3,1,2,1
3,12,0,4,2,2,2,1,1,3,1,4,1,3,3,4,3,2,1,2
2,12,4,5,2,4,5,4,0,2,4,2,2,3,1,1,3,1,2,1
